光纤位置,mean_angle,std_angle,skew_angle,kurt_angle,range_angle,q25_angle,q50_angle,q75_angle,max_angle,min_angle,angle_change_rate,neg_value_ratio,neg_value_mean,pos_value_mean,pos_neg_contrast,dominant_freq,spectral_centroid,spectral_bandwidth,wavelet_energy_low,wavelet_energy_high,wavelet_energy_ratio,angle_gradient,failure_angle_est,failure_span,failure_start_angle,failure_end_angle,failure_intensity,circular_correlation,small_window_std,sequence_autocorr,residual_std,attention_weight
8.4299,127.85072444444444,2.643533566388877,0.28347368726673056,-0.7018969251556504,9.116960000000006,125.7181,127.63747,129.35119,132.84715,123.73019,0.15080674999999993,0.0,0.0,127.85072444444444,127.85072444444444,0.1111111111111111,0.1689470012465122,0.1549175530011182,0.17804982069624106,0.06079581212107174,0.7454598123545388,0.7540337499999996,,0.0,,,0.0,0.0,0.029011059565541744,0.5446363452712194,2.2360850084935735,1.0
8.71879,128.54382666666666,2.6518809841234523,0.25279678126441585,-0.5947814856980145,9.322600000000008,126.33503,128.5286,129.83103,133.60119,124.27859,0.150807,0.0,0.0,128.54382666666666,128.54382666666666,0.0,0.13638974601606035,0.1550206564275651,0.21924811121593915,0.052619626846632205,0.8064513748403396,0.754035,,0.0,,,0.0,0.0,0.02375204014244334,0.515442958634362,2.2533097980057892,1.0
9.00767,129.2369322222222,2.6172442410578776,0.36942498215472047,-0.7764478141968572,8.705660000000009,126.81487,128.87134,130.5165,134.21813,125.51247,0.14395200000000016,0.0,0.0,129.2369322222222,129.2369322222222,0.0,0.10471022468978897,0.14593089433833265,0.3426020828010134,0.04149496270750445,0.8919675033121779,0.7197600000000008,,0.0,,,0.0,0.0,0.04236662275938697,0.5146335241774558,2.214304946177338,1.0
9.29655,129.51112444444442,2.753156019012488,0.34357962446241547,-0.6965004015786791,9.391149999999996,127.29471,129.21408,130.65361,134.69797,125.30682,0.15080699999999964,0.0,0.0,129.51112444444442,129.51112444444442,0.0,0.07849439126844862,0.1283741560055494,0.406277522602372,0.018040338587264303,0.9574839045605246,0.7540349999999982,,0.0,,,0.0,0.0,0.039054683917622075,0.6442897552439559,2.3699245286822332,1.0
9.58544,129.99858333333336,2.7362485797732474,0.4469156978761344,-0.36887207763353835,9.733900000000006,128.1173,129.55682,131.06491,135.45201,125.71811,0.15423449999999975,0.0,0.0,129.99858333333336,129.99858333333336,0.0,0.07640948298945054,0.1305267718597421,0.5256792223758797,0.022985370166006942,0.958106700205804,0.7711724999999987,,0.0,,,0.0,0.0,0.04724379591883263,0.539876535526354,2.4040278804600916,1.0
9.87432,129.57967444444446,2.687129197278974,0.29846767246422257,-0.44315191295332035,9.596800000000016,127.9802,129.35117,130.92781,134.76652,125.16972,0.15080675000000027,0.0,0.0,129.57967444444446,129.57967444444446,0.0,0.08960879322208888,0.1386852271316063,0.39918924326442445,0.028309484525185613,0.9337787862786442,0.7540337500000014,,0.0,,,0.0,0.0,0.040063751499797684,0.5346793103209663,2.3720559381495687,1.0
10.1632,129.3283288888889,2.8962179659665876,0.252097000231625,-0.4346292713953068,10.419389999999993,127.36327,129.14553,131.0649,134.90362,124.48423,0.16108924999999985,0.0,0.0,129.3283288888889,129.3283288888889,0.0,0.09254086718031154,0.13814788151730395,0.35094604383945815,0.02457444978234094,0.9345589647084702,0.8054462499999993,,0.0,,,0.0,0.0,0.033924639281254505,0.6396088773200074,2.5131297752897006,1.0
10.45209,129.2978611111111,2.929159618944372,0.09389942449854445,-0.35564150832550157,10.693580000000011,127.98021,129.07697,130.85925,134.76652,124.07294,0.16108925000000057,0.0,0.0,129.2978611111111,129.2978611111111,0.0,0.09449059510734611,0.14103368831178795,0.33580838778121047,0.021180119426450983,0.9406700241243412,0.8054462500000028,,0.0,,,0.0,0.0,0.0434939027319116,0.608526167876529,2.608099720897004,1.0
10.74097,129.25216333333333,2.9406055148708528,0.2099233794394853,-0.6198978203688568,10.350839999999991,127.29472,129.07697,131.0649,134.69797,124.34713,0.16623025000000027,0.0,0.0,129.25216333333333,129.25216333333333,0.0,0.08716917947832271,0.13633227612872098,0.3365205998937746,0.015871531053053535,0.9549605971452738,0.8311512500000013,,0.0,,,0.0,0.0,0.026546809405082125,0.7215342856531834,2.5490707059385103,1.0
11.02985,129.19885000000002,3.0471003864147495,0.05378840808976747,-0.6925153675849591,10.625040000000013,127.36327,129.00843,131.13345,134.49233,123.86729,0.16280300000000025,0.0,0.0,129.19885000000002,129.19885000000002,0.0,0.07673299528480422,0.130422703072092,0.3276885062234786,0.008892343315169207,0.9735803643471814,0.8140150000000013,,0.0,,,0.0,0.0,0.029151876171822733,0.7762511990798668,2.6919122345440942,1.0
