光纤位置,0,5,10,15,20,25,30,35,40
33.56275,135.52057,136.82299,139.01653,139.77057,131.68183,134.49231,136.75443,141.21008,143.47219
33.85163,135.31492,136.96009,138.94799,139.90767,130.99635,134.28667,136.61733,140.59315,143.33509
34.14052,134.76653,136.41169,138.19395,139.42783,130.44795,133.73829,136.61733,139.77057,142.78669
34.4294,133.87539,136.06895,137.30282,138.39959,129.28263,132.84715,135.38345,138.81089,141.89557
34.71828,133.39555,135.52056,136.89153,137.91975,127.84311,132.36731,134.90361,138.74234,141.41573
35.00717,132.71006,134.62943,136.27459,137.09717,126.74633,131.61328,134.01248,137.50847,140.45605
35.29605,133.0528,134.76653,136.13749,137.37137,126.88343,131.88747,134.62942,137.30282,140.38749
35.58493,132.16167,133.73829,135.52055,136.68588,126.40359,131.27053,133.46409,136.68589,140.04475
35.87382,130.99634,132.71007,134.35523,135.79475,125.7181,130.31085,132.16167,136.0004,138.94797
36.1627,129.76246,131.88749,133.0528,134.35523,124.07293,128.87133,130.99634,134.42379,137.43991
36.45158,128.66568,130.44797,132.09312,133.80683,122.42777,127.22617,129.96811,133.05282,136.20603
36.74047,127.8431,129.76248,131.40763,132.57296,122.29067,126.19793,128.93989,132.36733,135.3149
37.02935,126.88342,129.55683,130.72215,132.02457,122.01647,125.03261,127.84311,130.72217,134.21812
37.31823,125.99229,128.6657,129.83101,131.13344,120.85115,124.07292,126.47213,129.48829,133.53263
37.60712,125.58099,127.63747,129.41972,130.79069,120.02857,123.52453,126.33503,129.14554,132.84715
37.896,124.21002,126.40359,128.52859,130.31085,117.62936,121.94791,124.82697,127.77457,131.47617
38.18488,122.83905,124.07294,127.15761,128.46004,115.84709,120.78259,122.42777,126.88343,130.2423
38.47377,122.29066,123.86729,126.95197,127.8431,115.98419,120.43985,121.87938,126.54069,130.10521
38.76265,122.29066,123.31891,126.74632,128.32294,115.98419,120.3713,121.81083,126.67779,129.76246
39.05153,122.9076,123.93584,127.08907,129.00843,117.28662,120.85114,122.56486,126.81489,130.31085
39.34041,123.45599,124.55278,127.56891,129.48827,117.76646,121.33098,123.25035,127.43183,131.13343
39.6293,123.86728,124.21003,127.9802,130.51649,117.90356,121.94792,123.25035,127.70602,131.81892
39.91818,124.48422,124.75843,128.11729,131.40762,118.58905,122.29067,123.86728,127.84311,132.09311
40.20706,125.03261,124.68987,128.73423,131.75036,119.13744,122.83905,124.96406,128.39151,132.7786
40.49595,125.37535,125.03261,129.14553,132.2302,119.61728,123.1818,125.03261,129.00844,132.7786
40.78483,125.30681,125.03261,129.00843,132.09311,120.09712,123.59309,124.75841,129.07699,132.50441
41.07371,125.16971,125.03261,129.07698,132.64149,120.09712,123.59309,125.16971,129.07699,132.50441
41.3626,125.37535,124.82697,128.93989,132.5044,119.82293,123.66164,125.23825,130.03667,132.57296
